Username,Categories,Subscribers,Country,Visits,Likes,Continent,CPM,clusters
adityamovies,Unknown,29400000,India,26600.0,1000,Asia,0.0529225619904836,3
MashaOso,Unknown,29300000,Unknown,543200.0,5700,Unknown,0.0653132485689483,3
shemaroomovies,Unknown,29200000,India,24100.0,242,Asia,0.052166745778642255,3
gulshankalra07,Unknown,29200000,India,8100000.0,431100,Asia,0.30152951654276183,4
junya1gou,Unknown,29000000,Japan,195000.0,924,Asia,0.05564920199205007,3
adityamusic,Music and Dance,28800000,India,28200.0,568,Asia,0.05112988411907917,3
MichaelJackson,Unknown,28800000,United States,227300.0,9100,North America,0.05697897382007586,3
GoldminesDishoom,"Movies, Video Games",28700000,Unknown,14100.0,167,Unknown,0.05044999594671331,3
DrakeOfficial,Unknown,28400000,United States,0.0,0,North America,0.04921414538310413,3
KidsRomaShow,"Animation, Toys",28200000,Unknown,1200000.0,3100,Unknown,0.0769745883074754,3
toycantando,"Music and Dance, Animation",28100000,Unknown,426400.0,11700,Unknown,0.059917766580292284,3
SandeepSeminars,Daily Vlogs,28000000,India,1200000.0,58500,Asia,0.08429948305908923,3
LankyBox,"Animation, Video Games",28000000,United States,346500.0,6300,North America,0.05699350299264404,3
bouncepatrol,Music and Dance,27900000,Unknown,339300.0,6600,Unknown,0.05657422279370011,3
JYPEntertainment,Music and Dance,27800000,United States,177700.0,8700,North America,0.05282138777748043,3
nickjr,"Animation, Toys",27800000,Unknown,109200.0,191,Unknown,0.05001279309309505,3
CrazyXYZ,Unknown,27800000,India,4200000.0,284100,Asia,0.18570610538545385,4
DanTDM,"Animation, Video Games",27800000,United States,3500000.0,285000,North America,0.1695556070465834,4
wizkhalifa,Music and Dance,27800000,United States,87400.0,4100,North America,0.05006424492033758,3
brentrivera,"Video Games, Comedy",27600000,United States,6400000.0,154100,North America,0.2177080765490278,4
NichLmao,Daily Vlogs,27500000,United States,1500000.0,85800,North America,0.09370274983845597,3
GoldminesBollywood,Unknown,27300000,India,8900.0,62,Asia,0.046188328975451824,3
renatongarcia,"Movies, Animation",27200000,Brazil,748200.0,68800,South America,0.07290637103564412,3
toypudding,Unknown,27100000,United States,0.0,0,North America,0.04538310412573674,3
dbillions,"Music and Dance, Animation",27100000,Unknown,1000000.0,651,Unknown,0.06873191807922512,3
Netflix,"Movies, Animation",27000000,United States,202600.0,2200,North America,0.05011432226566325,3
RaffyTulfoInAction,News and Politics,26800000,Philippines,398300.0,5300,Asia,0.054518951236546154,3
enchufetv,Unknown,26800000,Ecuador,34300.0,4300,South America,0.04591097781461924,3
mujjuu___14,Unknown,26800000,India,4500000.0,144000,Asia,0.16972160904385514,4
indosiar,"Music and Dance, Movies",26700000,Indonesia,18800.0,471,Asia,0.044708817217004225,3
SpiderSlack,Unknown,26600000,Brazil,532500.0,37700,South America,0.061679061935003825,3
worldstarhiphop,Music and Dance,26600000,United States,40300.0,993,North America,0.04498869316423971,3
smosh,"Movies, Comedy",26300000,United States,289100.0,21300,North America,0.05279165323185975,3
1MILLION_Dance,Unknown,26300000,India,35300.0,1800,Asia,0.04410361336475011,3
dianaandromahin8102,"Animation, Toys",26200000,Unknown,109000.0,322,Unknown,0.04531172851464339,3
nickiminaj,Music and Dance,26100000,United States,1600000.0,98300,North America,0.09368830878081576,3
mariliamendoncareal,Music and Dance,26100000,Brazil,0.0,0,South America,0.042436149312377214,3
TheLallantop,News and Politics,26000000,India,30800.0,822,Asia,0.04297516147223728,3
AGT,"Music and Dance, Movies",25900000,United States,186800.0,3100,North America,0.046633801539074066,3
davidguetta,Music and Dance,25900000,Brazil,0.0,0,South America,0.0418467583497053,3
ThatLittlePuff,Unknown,25900000,United States,5100000.0,299000,North America,0.20316569522678174,4
postmalone,Music and Dance,25900000,United States,223100.0,13100,North America,0.04890655901415713,3
VanossGaming,"Animation, Video Games",25900000,United States,1300000.0,56500,North America,0.08015074506066876,3
DanielLaBelle,Unknown,25900000,United States,1700000.0,130100,North America,0.09996735635634982,3
abp_live,News and Politics,25800000,India,2300.0,49,Asia,0.04161255124046237,3
LosPolinesios,"Music and Dance, Movies",25700000,Mexico,1400000.0,38400,North America,0.07930122120763142,3
AlejoIgoa,Animation,25700000,Argentina,5700000.0,208400,South America,0.20358693549334567,4
ZHCYT,"Design/Art, DIY and Life Hacks",25700000,United States,2600000.0,127300,North America,0.11990819795181747,3
RansEntertainment,Movies,25700000,Indonesia,365500.0,11400,Asia,0.05138593881560483,3
wbkids,"Movies, Animation",25700000,Unknown,76100.0,699,Unknown,0.04312699197175101,3
coldplay,Music and Dance,25500000,United States,66900.0,3700,North America,0.042752361806421287,3
ChrisBrownTV,Music and Dance,25500000,United States,102000.0,9700,North America,0.044425783733331586,3
MarkRober,Science and Technology,25500000,United States,479200.0,31700,North America,0.056340733899444544,3
danrhodes,"Movies, Comedy",25500000,United States,414500.0,19300,North America,0.05306465416522527,3
TRANS7Official,"Movies, Comedy",25400000,Indonesia,1600.0,29,Asia,0.04041463310249398,3
WatchMojo,"Movies, Animation",25100000,United States,46700.0,1400,North America,0.040775241010645585,0
LeoNataFamily,Unknown,25000000,United States,2100000.0,42100,North America,0.09404599403429303,3
kidstv,Toys,25000000,Unknown,132600.0,1600,Unknown,0.04250679137648571,3
ChloeTing,"Fitness, Health, and Self-Help",24900000,United States,192700.0,7900,North America,0.044509770313754415,3
PrestonYT,"Video Games, Comedy",24900000,United States,1300000.0,36100,North America,0.07428950453302352,3
topperguild,"Animation, Comedy",24900000,United States,1800000.0,77600,North America,0.09184598293833912,3
akshaynagwadiya,Unknown,24900000,India,3100000.0,143500,Asia,0.13149282679215973,3
PenMovies,"Movies, Animation",24800000,India,59800.0,1200,Asia,0.040167234300857,0
likenastyaae,Unknown,24800000,Unknown,587400.0,3200,Unknown,0.05272271602843175,3
unknownboyvarun,Music and Dance,24700000,India,1300000.0,119600,Asia,0.08562868499892304,3
TsurikiShow,Unknown,24700000,India,604600.0,9500,Asia,0.053728020547095794,3
1theK,Music and Dance,24700000,Indonesia,10100.0,595,Asia,0.0386302962946041,0
DianaRomaARA,Animation,24600000,Unknown,1200000.0,5100,Unknown,0.06665126526509539,3
shfashowindia,Daily Vlogs,24600000,Unknown,1300000.0,8800,Unknown,0.06950541808901566,3
kidschannelindia,Music and Dance,24400000,Unknown,80300.0,385,Unknown,0.03934876799013112,0
goldmineshindi,Unknown,24400000,India,12500.0,139,Asia,0.037736880946941755,0
Venus_Movies,Unknown,24400000,India,39100.0,425,Asia,0.038396342740961695,0
