Username,Categories,Subscribers,Country,Visits,Likes,Continent,Cluster
TalkingTom,"Movies, Animation",30400000,United States,201300.0,798,North America,4
spinninrecords,Music and Dance,30200000,United States,31900.0,1200,North America,4
HUMTV,,30200000,Pakistan,1100.0,7,Asia,2
Dushyant_kukreja,,30000000,India,5900000.0,231000,Asia,5
KLBROBijuRithvik1,,29900000,India,1600000.0,49800,Asia,2
ultrarecords,Music and Dance,29800000,United States,15800.0,607,North America,4
zamzamelectronicstradingllc,,29700000,India,268700.0,18400,Asia,2
AlanChikinChow,"Music and Dance, Comedy",29700000,India,3600000.0,106500,Asia,2
infobellstamilrhymes,Education,29500000,Unknown,1200000.0,17700,Unknown,1
Maluma_Official,Music and Dance,29400000,Colombia,226400.0,8500,South America,2
infobellstelugurhymes,Education,29400000,Unknown,271400.0,5600,Unknown,1
adityamovies,,29400000,India,26600.0,1000,Asia,2
MashaOso,,29300000,Unknown,543200.0,5700,Unknown,4
shemaroomovies,,29200000,India,24100.0,242,Asia,2
gulshankalra07,,29200000,India,8100000.0,431100,Asia,5
junya1gou,,29000000,Japan,195000.0,924,Asia,2
adityamusic,Music and Dance,28800000,India,28200.0,568,Asia,2
MichaelJackson,,28800000,United States,227300.0,9100,North America,4
GoldminesDishoom,"Movies, Video Games",28700000,Unknown,14100.0,167,Unknown,4
DrakeOfficial,,28400000,United States,0.0,0,North America,4
KidsRomaShow,"Animation, Toys",28200000,Unknown,1200000.0,3100,Unknown,1
toycantando,"Music and Dance, Animation",28100000,Unknown,426400.0,11700,Unknown,4
SandeepSeminars,Daily Vlogs,28000000,India,1200000.0,58500,Asia,2
LankyBox,"Animation, Video Games",28000000,United States,346500.0,6300,North America,1
bouncepatrol,Music and Dance,27900000,Unknown,339300.0,6600,Unknown,4
JYPEntertainment,Music and Dance,27800000,United States,177700.0,8700,North America,4
nickjr,"Animation, Toys",27800000,Unknown,109200.0,191,Unknown,1
CrazyXYZ,,27800000,India,4200000.0,284100,Asia,5
DanTDM,"Animation, Video Games",27800000,United States,3500000.0,285000,North America,1
wizkhalifa,Music and Dance,27800000,United States,87400.0,4100,North America,4
brentrivera,"Video Games, Comedy",27600000,United States,6400000.0,154100,North America,5
NichLmao,Daily Vlogs,27500000,United States,1500000.0,85800,North America,1
GoldminesBollywood,,27300000,India,8900.0,62,Asia,2
renatongarcia,"Movies, Animation",27200000,Brazil,748200.0,68800,South America,2
toypudding,,27100000,United States,0.0,0,North America,4
dbillions,"Music and Dance, Animation",27100000,Unknown,1000000.0,651,Unknown,4
Netflix,"Movies, Animation",27000000,United States,202600.0,2200,North America,4
RaffyTulfoInAction,News and Politics,26800000,Philippines,398300.0,5300,Asia,2
enchufetv,,26800000,Ecuador,34300.0,4300,South America,2
mujjuu___14,,26800000,India,4500000.0,144000,Asia,2
indosiar,"Music and Dance, Movies",26700000,Indonesia,18800.0,471,Asia,2
SpiderSlack,,26600000,Brazil,532500.0,37700,South America,2
worldstarhiphop,Music and Dance,26600000,United States,40300.0,993,North America,4
smosh,"Movies, Comedy",26300000,United States,289100.0,21300,North America,4
1MILLION_Dance,,26300000,India,35300.0,1800,Asia,2
